Date,Price
2011-03-11,7837.71999999995
2011-03-13,1374.63
2011-03-14,3851.68999999998
2011-03-15,11141.28
2011-03-16,3178.30999999999
2011-03-17,8655.67000000005
2011-03-18,17046.97
2011-03-20,5053.78999999996
2011-03-21,2938.76
2011-03-22,10389.5699999999
2011-03-23,4778.02
2011-03-24,4687.92999999995
2011-03-25,5604.09999999999
2011-03-27,2176.4
2011-03-28,9699.40999999993
2011-03-29,9098.1400000001
2011-03-30,5140.83999999999
2011-03-31,9091.81000000003
2011-04-01,4326.01999999998
2011-04-02,6316.52999999999
2011-04-03,3255.50000000001
2011-04-04,18797.4600000003
2011-04-05,3593.40999999998
2011-04-07,9378.83999999991
2011-04-08,6477.51999999997
2011-04-09,3688.44999999999
2011-04-10,10178.9099999999
2011-04-11,8744.88999999993
2011-04-12,5589.00999999997
2011-04-13,3022.27999999999
2011-04-14,5481.54999999996
2011-04-15,8714.42100000005
2011-04-17,2774.57
2011-04-18,12345.2699999999
2011-04-19,7149.87999999999
2011-04-20,3238.38999999999
2011-04-21,9542.41999999997
2011-04-26,8523.89999999998
2011-04-27,4271.06999999999
2011-04-28,4706.12999999999
2011-05-01,39220.5899999994
2011-05-04,6221.74999999997
2011-05-05,6246.53999999999
2011-05-06,4962.99999999997
2011-05-07,9444.63999999997
2011-05-08,4666.73999999999
2011-05-09,4608.14
2011-05-10,7605.89999999994
2011-05-12,57195.7399999977
2011-05-13,4957.35999999999
2011-05-15,2277.36
2011-05-16,20897.6200000003
2011-05-17,10116.7
2011-05-18,5320.05999999999
2011-05-19,7760.88999999994
2011-05-20,3970.23999999999
2011-05-22,4596.71999999998
2011-05-23,12608.92
2011-05-24,7291.13999999998
2011-05-25,4553.68999999999
2011-05-26,4279.92999999998
2011-05-27,5204.24
2011-05-29,1716.09
2011-05-31,5080.38
2011-06-01,7950.65999999998
2011-06-02,799.450000000001
2011-06-03,2845.04
2011-06-04,3770.26
2011-06-05,7276.00999999998
2011-06-06,4730.5
2011-06-07,5157.59
2011-06-09,3456.81999999999
2011-06-10,9950.34
2011-06-11,9458.87999999999
2011-06-12,10364.6399999999
2011-06-13,6006.16999999998
2011-06-14,6435.36
2011-06-15,7495.17999999997
2011-06-16,5497.95999999998
2011-06-17,3116.09
2011-06-19,3447.65999999999
2011-06-20,15143.1899999999
2011-06-21,6712.19
2011-06-22,3593.77999999998
2011-06-23,6436.82999999997
2011-06-24,15250.81
2011-06-26,2594.11
2011-06-27,4679.17999999998
2011-06-28,5266.53999999999
2011-06-29,4903.17000000002
2011-06-30,5499.38
2011-07-01,5871.84999999997
2011-07-02,5356.03999999999
2011-07-03,10757.98
2011-07-04,4707.58999999998
2011-07-06,6788.24999999999
2011-07-07,6634.43999999999
2011-07-08,1310.75
2011-07-09,10083.6899999999
2011-07-10,13428.76
2011-07-11,22665.7500000001
2011-07-12,9049.18999999999
2011-07-13,15986.3199999999
2011-07-14,5626.64999999998
2011-07-15,4796.17000000001
2011-07-17,3337.93999999999
2011-07-18,27456.4900000004
2011-07-19,5378.41999999998
2011-07-20,10977.6599999998
2011-07-21,6732.05999999994
2011-07-22,4170.47999999998
2011-07-24,3185.74999999999
2011-07-25,7902.72
2011-07-26,4167.23100000001
2011-07-27,3926.12000000001
2011-07-28,5023.54999999999
2011-07-29,3631.93999999999
2011-07-31,3150.26
2011-08-02,5592.59
2011-08-03,5333.12999999999
2011-08-04,9002.97999999999
2011-08-05,4316.79999999998
2011-08-06,10794.6199999999
2011-08-07,7447.00000000002
2011-08-08,8444.05999999998
2011-08-09,5506.23999999997
2011-08-11,16788.0699999996
2011-08-12,21808.1000000005
2011-08-14,2148.46
2011-08-15,2759.84
2011-08-16,3041.85
2011-08-17,8401.73999999994
2011-08-18,4655.22999999997
2011-08-19,2273.59
2011-08-21,3326.29999999999
2011-08-22,3599.87999999999
2011-08-23,4402.63999999997
2011-08-24,18434.44
2011-08-25,5540.04999999998
2011-08-26,2623.57
2011-08-28,2839.43
2011-08-30,15682.5699999997
2011-08-31,6112.92999999997
2011-09-01,3544.54999999998
2011-09-02,4453.14999999999
2011-09-03,4801.91999999999
2011-09-05,8745.48
2011-09-06,7678.73999999997
2011-09-08,4280.66999999999
2011-09-09,5801.74999999999
2011-09-10,3418.61999999998
2011-09-11,8781.16
2011-09-12,9244.48000000007
2011-09-13,8955.44000000002
2011-09-14,4233.43999999999
2011-09-15,25498.2300000005
2011-09-16,7239.67999999996
2011-09-18,3659.51999999998
2011-09-19,9538.98999999998
2011-09-20,7132.64999999998
2011-09-21,14382.7099999998
2011-09-22,8238.56999999993
2011-09-23,9697.00999999988
2011-09-25,5630.07099999996
2011-09-26,6052.68099999999
2011-09-27,6823.73999999997
2011-09-28,9160.69999999996
2011-09-29,7188.14999999995
2011-09-30,7031.09999999999
2011-10-01,7827.63000000001
2011-10-02,3462.46
2011-10-03,3723.9
2011-10-04,3110.40999999999
2011-10-05,15484.5499999998
2011-10-06,44471.1199999999
2011-10-07,1976.14000000001
2011-10-08,6398.08000000001
2011-10-10,14532.6499999998
2011-10-11,13371.5000000002
2011-10-13,8818.50999999999
2011-10-14,7246.18999999996
2011-10-16,4307.23999999998
2011-10-17,12819.66
2011-10-18,9220.43999999992
2011-10-19,20575.5700000003
2011-10-20,7120.88999999995
2011-10-21,4151.82999999998
2011-10-23,4753.18999999997
2011-10-24,17005.3499999997
2011-10-25,7354.82999999998
2011-10-26,7333.50999999997
2011-10-27,20672.5700000003
2011-10-28,5845.60999999999
2011-10-30,7547.43999999991
2011-10-31,27382.5700000006
2011-11-01,5225.14999999999
2011-11-02,5587.93999999999
2011-11-03,10475.69
2011-11-04,3611.42999999998
2011-11-05,5969.59999999997
2011-11-07,4452.77999999999
2011-11-08,14197.55
2011-11-09,5891.44999999996
2011-11-10,8147.75999999997
2011-11-11,14116.5499999998
2011-11-13,9141.77999999996
2011-11-14,15262.5399999999
2011-11-15,13241.6499999997
2011-11-16,16784.0799999998
2011-11-17,11881.45
2011-11-18,12070.6499999998
2011-11-20,10454.85
2011-11-21,9420.89000000002
2011-11-22,13066.7299999999
2011-11-23,16560.47
2011-11-24,13548.7300000002
2011-11-25,14484.6099999998
2011-11-27,6497.71999999994
2011-11-28,13875.5099999998
2011-11-29,18797.66
2011-11-30,15757.0299999999
2011-12-01,7600.87999999997
2011-12-04,3700.68999999999
2011-12-05,8547.72999999996
2011-12-06,3058.84
2011-12-07,6601.02
2011-12-08,6946.44000000003
2011-12-09,5365.91999999998
2011-12-10,7587.46999999998
